Date_Time, Dallas_Digital, LM35_Analogue
2025-10-21 20:24:35.945221, 18.44, 17.09
2025-10-21 20:24:45.979618, 18.50, 17.09
2025-10-21 20:24:56.010097, 18.62, 17.09
2025-10-21 20:25:06.040686, 18.56, 17.09
2025-10-21 20:25:26.101776, 18.69, 17.09
2025-10-21 20:25:36.132290, 18.69, 17.09
2025-10-21 20:25:46.166808, 18.69, 17.09
2025-10-21 20:25:56.197381, 18.62, 17.09
2025-10-21 20:26:06.227904, 18.56, 17.09
2025-10-21 20:26:26.288920, 18.62, 17.09
2025-10-21 20:26:36.323406, 18.62, 17.09
2025-10-21 20:26:46.353922, 18.56, 17.09
2025-10-21 20:26:56.384502, 18.62, 17.09
2025-10-21 20:27:06.415097, 18.56, 17.58
2025-10-21 20:27:16.445666, 18.62, 16.60
2025-10-21 20:27:26.476154, 18.44, 17.09
2025-10-21 20:27:36.510592, 18.50, 16.60
2025-10-21 20:27:46.541243, 18.50, 17.09
2025-10-21 20:27:56.571730, 18.56, 17.09
2025-10-21 20:28:06.602309, 18.50, 16.60
2025-10-21 20:28:17.243074, 18.50, 17.09
2025-10-21 20:28:27.883756, 18.50, 17.09
2025-10-21 20:28:37.914396, 18.50, 16.60
2025-10-21 20:28:47.948873, 18.56, 17.09
2025-10-21 20:28:57.979467, 18.50, 16.60
2025-10-21 20:29:08.009991, 18.56, 16.60
2025-10-21 20:29:18.040598, 18.69, 17.09
2025-10-21 20:29:28.070969, 18.62, 16.60
2025-10-21 20:29:38.711842, 18.56, 16.60
2025-10-21 20:29:49.352622, 18.50, 16.60
2025-10-21 20:29:59.383141, 18.50, 16.60
2025-10-21 20:30:09.417607, 18.44, 16.60
2025-10-21 20:30:19.448195, 18.50, 17.09
2025-10-21 20:30:29.478751, 18.56, 16.60
2025-10-21 20:30:39.509397, 18.62, 16.60
2025-10-21 20:30:49.539841, 18.69, 17.09
2025-10-21 20:30:59.574322, 18.75, 17.09
2025-10-21 20:31:09.604804, 18.81, 17.09
2025-10-21 20:31:19.635433, 18.75, 17.09
